file_path,header1,header2,header3,header4
/Users/brentbrewington/Downloads/Data/Financial Statements_page_070.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 January 2023,January January January YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_071.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_072.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_073.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_074.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_075.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_076.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_077.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_078.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_079.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_080.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_081.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_082.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_083.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_084.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 January 2024,January January January YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_085.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_086.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_087.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_088.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_089.pdf,ARMY RECREATION MACHINE FROG,Japan Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_090.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_091.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_092.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_093.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_094.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Five Months Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_095.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Five Months Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_096.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Five Months Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_097.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Five Months Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_098.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 29 February 2020,February February February YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_099.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_100.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_101.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_102.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_103.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_104.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 28 February 2021
/Users/brentbrewington/Downloads/Data/Financial Statements_page_105.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_106.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_107.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_108.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_109.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_110.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_111.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_112.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_113.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_114.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_115.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_116.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_117.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_118.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_119.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_120.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_121.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_122.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Five Months Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_123.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Five Months Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_124.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Five Months Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_125.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Five Months Ending 28 February 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_126.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 28 February 2022,February February February YTD YTD YTD
